I Vapp Vdl
-6.008316759849138e-14 -0.1 -0.291198576
-1.3162730798491546e-14 -0.02 -0.291198576
-2.894874573715287e-14 -0.06 -0.291198576
-1.4469793555216121e-13 -0.18 -0.291198576
-1.9438444181507535e-13 -0.22 -0.291198576
-9.467724617734442e-14 -0.14 -0.291198576
-2.907239786860904e-13 -0.34 -0.291198576
-2.3763020903507995e-13 -0.26 -0.291198576
-2.6860352898409144e-13 -0.3 -0.291198576
-3.132302659669687e-13 -0.42 -0.291198576
-3.1882379049640615e-13 -0.46 -0.291198576
-3.0439246676709953e-13 -0.38 -0.291198576
-5.559102928213142e-15 0.02 -0.291198576
-3.216731835415782e-13 -0.5 -0.291198576
-9.716982423113231e-16 0.1 -0.291198576
-4.160229274157736e-16 0.14 -0.291198576
-2.2778125531845914e-15 0.06 -0.291198576
-2.928126476870842e-17 0.26 -0.291198576
-1.811976020356489e-16 0.18 -0.291198576
-7.584345066751984e-17 0.22 -0.291198576
-1.4495284962545312e-17 0.3 -0.291198576
