Domain I Vapp
AA -3.8971761858520917e-13 -0.04
AB -3.213791171356935e-13 -0.02
AA -3.2164883806734445e-13 -0.02
AB -4.337215425475213e-13 -0.06
AB -3.8973789655984566e-13 -0.04
AA -4.3382322707396824e-13 -0.06
AA -4.590832662216255e-13 -0.08
AB -4.595538352065975e-13 -0.08
AA -4.800075765568596e-13 -0.12
AB -4.847815000507335e-13 -0.14
AB -4.809394131679626e-13 -0.12
AA -4.846660926795655e-13 -0.14
AA -4.884541524770517e-13 -0.18
AA -4.860854057197112e-13 -0.16
AB -4.875726078244785e-13 -0.16
AB -4.7331191543891e-13 -0.1
AB -4.893675803700213e-13 -0.18
AA -4.627695539830505e-13 -0.1
AA -4.904540646716525e-13 -0.22
AA -4.91190068242463e-13 -0.24
AB -4.911934567714027e-13 -0.22
AB -4.914617365533023e-13 -0.24
AA -4.920094075282216e-13 -0.26
AB -4.921622264812282e-13 -0.26
AB -4.92409660336029e-13 -0.28
AA -4.892931273094277e-13 -0.2
AA -4.910145663766687e-13 -0.28
AA -4.925494583506788e-13 -0.32
AB -4.940913219777635e-13 -0.32
AB -4.903217367577844e-13 -0.2
AA -4.927064377269391e-13 -0.36
AA -4.918460282959524e-13 -0.34
AB -4.930786649188691e-13 -0.34
AB -4.932785119187433e-13 -0.36
AB -4.944018398731513e-13 -0.38
AA -4.930908648157919e-13 -0.38
AA -4.929882232450119e-13 -0.3
AA -4.932354197971907e-13 -0.42
AB -4.924868056919141e-13 -0.3
AB -4.928419012304764e-13 -0.44
AB -4.929816654636696e-13 -0.42
AA -4.920567000452898e-13 -0.44
AA -4.934248840866981e-13 -0.48
AA -4.933303350933268e-13 -0.46
AB -4.934255368461555e-13 -0.46
AA -4.927968829251909e-13 -0.4
AB -4.933214063572384e-13 -0.4
AB -4.934449153361029e-13 -0.48
AA -4.93446591986854e-13 -0.5
AB -4.926922050893834e-13 -0.5
AA -1.4849832251276349e-13 0.02
AB -1.485496225954637e-13 0.02
AB -8.353452818771805e-14 0.04
AA -8.2882374433465e-14 0.04
AB -2.873972967015696e-14 0.06
AA -4.292698972073914e-14 0.06
AA -3.67750342138397e-14 0.08
AA -2.3417454959124187e-13 0.0
AB -2.3415703782571114e-13 0.0
AB -6.2657304025926845e-15 0.08
AA -1.0293574421152059e-14 0.12
AA -4.212828909320095e-15 0.14
AB -1.0892708125096832e-14 0.12
AB -1.9010985150577856e-15 0.16
AA -2.3707606837787397e-15 0.16
AB -9.533407098313014e-16 0.14
AB 2.0661888156488767e-15 0.18
AA -2.8644835836239726e-14 0.1
AA -9.778615585168137e-16 0.18
AB -2.38696811181321e-14 0.1
AA -1.7817324275783862e-16 0.22
AB -1.543142402466653e-16 0.22
AA -1.471070651606671e-16 0.24
AB -1.3880968995216058e-16 0.24
AA -7.692126028256348e-17 0.26
AA -4.291551988870186e-17 0.28
AB -5.2704764742540407e-17 0.26
AB -1.9066571133766728e-17 0.28
AA -5.006046259208057e-16 0.2
AB -4.804376184960787e-16 0.2
AA -3.248418269921332e-17 0.3
