Domain I Vapp
AB -1.9059105223536227e-14 -0.02
AA -3.395252430575438e-14 -0.04
AA -2.6744221915398822e-14 -0.02
AB -2.761964209247887e-14 -0.06
AB -2.5713761387682053e-14 -0.04
AA -4.541949905148389e-14 -0.06
AA -4.532969917402099e-14 -0.08
AB -3.443163168560601e-14 -0.08
AA -5.218342996611417e-14 -0.12
AB -5.11056496025466e-14 -0.14
AA -5.476242310333026e-14 -0.14
AB -4.626808968791959e-14 -0.12
AA -5.898016639566318e-14 -0.18
AA -5.696259100542922e-14 -0.16
AB -5.4850598318456105e-14 -0.16
AB -4.088159876031326e-14 -0.1
AA -4.897559371106508e-14 -0.1
AB -5.747601721910534e-14 -0.18
AA -6.174351492119382e-14 -0.22
AB -6.132854127826043e-14 -0.22
AA -6.279130900211666e-14 -0.24
AB -6.331898962394057e-14 -0.26
AA -6.343682407126662e-14 -0.26
AB -6.226750084887461e-14 -0.24
AA -6.391765747458476e-14 -0.28
AA -6.022605866294479e-14 -0.2
AB -6.405268726389148e-14 -0.28
AA -6.468315727543147e-14 -0.32
AB -6.500978112208057e-14 -0.32
AB -5.97426904995499e-14 -0.2
AA -6.520065286814689e-14 -0.36
AB -6.551943416287893e-14 -0.34
AA -6.462692325548785e-14 -0.34
AA -6.491403192098761e-14 -0.38
AB -6.559635539173756e-14 -0.38
AB -6.514542903344137e-14 -0.36
AA -6.757267391226e-14 -0.42
AA -6.45263840861512e-14 -0.3
AB -6.428256038817481e-14 -0.3
AB -6.551267113556281e-14 -0.42
AA -6.559822310279036e-14 -0.44
AB -6.530530471020184e-14 -0.44
AA -6.566720758265613e-14 -0.48
AB -6.565787086042606e-14 -0.46
AA -6.536168070827527e-14 -0.46
AB -6.57306681350662e-14 -0.48
AA -6.548851403815567e-14 -0.4
AB -6.536986288151143e-14 -0.4
AA -1.779970159731753e-14 0.02
AB 0.0 -0.5
AA -6.568745230285517e-14 -0.5
AA -1.2501683563602629e-14 0.04
AB -5.2448783273022145e-15 0.04
AB -7.628494211331437e-15 0.02
AA -3.445513951124737e-15 0.08
AA -3.447141919277566e-15 0.06
AB -2.7085022891233556e-15 0.06
AB -2.018268953438764e-15 0.08
AB -1.2296195084247764e-14 0.0
AA -1.6734846120933544e-14 0.0
AA -9.542787764978954e-16 0.12
AA -3.2369478010044765e-16 0.14
AB -6.721443956496508e-16 0.12
AB -1.933293442452471e-16 0.16
AA -2.6348715214244735e-16 0.16
AB -3.977179969846739e-16 0.14
AA -2.410021166998348e-15 0.1
AB -6.92567266959378e-17 0.18
AA -1.1417657951208703e-16 0.18
AA -2.3989903957416198e-17 0.22
AB -3.012390116722336e-17 0.22
AB -7.540958510253989e-16 0.1
AA -6.8423277343094535e-18 0.26
AA -5.33678653909173e-18 0.24
AB -4.460140251868104e-18 0.24
AB -6.62909879749843e-18 0.28
AB -7.918230100703406e-18 0.26
AA 7.599941405413622e-18 0.28
AB -3.703961413284854e-17 0.2
AA 8.241423730315266e-17 0.2
AA 3.467521576220035e-19 0.3
