Domain I Vapp
AB -3.032400414666009e-14 -0.02
AA -3.508874711347215e-14 -0.02
AA -3.5067909299943464e-14 -0.04
AA -4.284447640704154e-14 -0.06
AB -4.055507527808442e-14 -0.06
AB -3.2703302695417555e-14 -0.04
AA -5.748343397456263e-14 -0.12
AA -4.9279918203090746e-14 -0.08
AB -5.947694489585638e-14 -0.08
AA -5.972232160489914e-14 -0.14
AB -5.868715065858918e-14 -0.14
AB -5.6079087762582175e-14 -0.12
AB -6.070280063880517e-14 -0.16
AA -6.135517011246761e-14 -0.16
AA -6.225704167550547e-14 -0.18
AB -5.190799128159965e-14 -0.1
AB -6.193525138316609e-14 -0.18
AA -5.377675437420678e-14 -0.1
AB -6.443027164885316e-14 -0.22
AA -6.380645730582434e-14 -0.22
AA -6.453509722931086e-14 -0.24
AB -6.456035638501687e-14 -0.26
AB -6.396273302927578e-14 -0.24
AA -6.460627627546863e-14 -0.26
AA -6.49946651971544e-14 -0.28
AB -6.479254883545372e-14 -0.28
AA -6.350367874043035e-14 -0.2
AB -6.294021946425623e-14 -0.2
AB -6.524716353422805e-14 -0.32
AA -6.53423808508099e-14 -0.32
AA -6.525805779153154e-14 -0.36
AB -6.518005896196127e-14 -0.34
AA -6.547013184978049e-14 -0.34
AB -6.547384104431704e-14 -0.36
AB -6.586702731669705e-14 -0.38
AA -6.543324652256589e-14 -0.38
AB -6.516655904825086e-14 -0.3
AA -6.487251385614563e-14 -0.3
AA -6.563705464247264e-14 -0.42
AB -6.567761306075374e-14 -0.44
AB -6.562906367575498e-14 -0.42
AA -6.556571460640617e-14 -0.44
AA -6.570863857598417e-14 -0.48
AA -6.551250886301471e-14 -0.46
AB -6.572534266180658e-14 -0.46
AB -6.573643560160732e-14 -0.48
AA -6.563897929357601e-14 -0.4
AB -6.567652553682269e-14 -0.4
AA -1.685096704988232e-14 0.02
AA -6.57935280068496e-14 -0.5
AB -6.574766180475796e-14 -0.5
AA -1.0271028902833009e-14 0.04
AB -8.237345136399205e-15 0.02
AB -8.170820095372542e-15 0.04
AB -4.5839915717159384e-15 0.06
AA -6.482881645544235e-15 0.06
AA -2.342773123960816e-15 0.08
AB -3.0755330781123544e-15 0.08
AA -2.5362157712021393e-14 0.0
AB -2.3926608710530975e-14 0.0
AA -3.624509305666943e-16 0.14
AA -8.636224861785646e-16 0.12
AB -3.283156756987821e-16 0.12
AA 9.396849537810556e-17 0.16
AB -1.6107750736390653e-16 0.16
AB -2.674617970830795e-16 0.14
AB -9.089138070477925e-17 0.18
AA 1.63124161389564e-17 0.18
AA -1.5611022003982756e-15 0.1
AB -2.5531302040715257e-17 0.22
AB -1.6578486058117834e-15 0.1
AA -2.472646930775731e-17 0.22
AA -5.7143059843378915e-18 0.26
AB -1.0004106203827565e-17 0.24
AA 4.453430865708014e-18 0.24
AB -9.452501475355728e-18 0.26
AB -5.3835066110806224e-18 0.28
AA -5.340272203000236e-18 0.28
AA -5.381146881901705e-18 0.3
AA -5.050986990164436e-17 0.2
AB -5.110326645093599e-17 0.2
