Domain I Vapp
AB -2.045209960886825e-13 -0.02
AA -1.1022425900452197e-13 0.02
AA -1.9363605757555362e-13 -0.02
AA -9.142054903478937e-14 0.04
AB -1.0403700355903769e-13 0.02
AA -2.352173893823984e-13 -0.04
AB -9.384784604820601e-14 0.04
AB -2.466356222982832e-13 -0.04
AA -2.6659052640230144e-13 -0.06
AA -3.9934750548774317e-14 0.06
AB -2.7814309291690375e-13 -0.06
AB -5.51730997137284e-14 0.06
AB -3.0053225696380933e-13 -0.08
AA -2.903688095472777e-13 -0.08
AA -2.325472411597295e-14 0.08
AB -1.5456387654627154e-13 0.0
AA -1.4478312748515424e-13 0.0
AB -3.68184421039944e-14 0.08
AA -3.21548308695137e-13 -0.12
AB -3.285672552246523e-13 -0.12
AA -8.364491032666942e-15 0.12
AA -3.3252423825649974e-13 -0.14
AA -3.086689705362211e-15 0.14
AB -9.183326950845846e-15 0.12
AB -3.37413035993624e-13 -0.14
AB -2.772262162834091e-15 0.14
AA -3.4112756748224054e-13 -0.16
AB -3.450381476793239e-13 -0.16
AB -1.6395112818241289e-15 0.16
AA -1.5903626550846304e-15 0.16
AA -3.486513064322865e-13 -0.18
AA -9.225681236569965e-16 0.18
AB -3.507135272055366e-13 -0.18
AB -6.554263757884728e-16 0.18
AA -3.084009314886645e-13 -0.1
AA -1.7939730253888314e-14 0.1
AB -3.1723040312988173e-13 -0.1
AA -3.5862789249597733e-13 -0.22
AB -1.7876088814315786e-14 0.1
AB -3.5992365677784694e-13 -0.22
AA 6.06584230107333e-17 0.22
AB -1.1779729343571703e-16 0.22
AA -3.624836868872148e-13 -0.24
AB -3.6318055363258803e-13 -0.24
AA -1.1423985276489595e-16 0.24
AB -1.0079689339898787e-16 0.24
AA -8.180014868928291e-17 0.26
AA -3.654047857373473e-13 -0.26
AB -3.659223660607592e-13 -0.26
AA -3.669817770896512e-13 -0.28
AB -4.6263929579990566e-17 0.26
AA -4.355293404616723e-17 0.28
AB -3.676913608381473e-13 -0.28
AB -2.0225810070007958e-17 0.28
AA -4.44716469738999e-16 0.2
AA -3.5405247302074093e-13 -0.2
AB -3.558749485559398e-13 -0.2
AB -3.068204526758042e-16 0.2
AA -3.701530649535642e-13 -0.32
AB -3.707590048922981e-13 -0.32
AA -3.709473273223487e-13 -0.34
AA -3.720386679868728e-13 -0.36
AB -3.716429036619668e-13 -0.34
AB -3.7229394360525387e-13 -0.36
AB -3.716139397511911e-13 -0.38
AA -3.727116844587914e-13 -0.38
AA -3.6784284602974233e-13 -0.3
AA -2.43397144423738e-17 0.3
AB -3.688287448458917e-13 -0.3
AA -3.737683942171807e-13 -0.42
AB -2.704712613890327e-17 0.3
AB -3.726268962853333e-13 -0.42
AA -3.741511290224057e-13 -0.46
AB -3.741984180631357e-13 -0.44
AA -3.726728943297855e-13 -0.44
AB -3.7402573808431433e-13 -0.46
AA -3.760004390262678e-13 -0.48
AB -3.741926508961871e-13 -0.48
AA -3.732305812983692e-13 -0.5
AA -3.735806441488494e-13 -0.4
AB -3.733308593432914e-13 -0.4
AB -3.742518322109093e-13 -0.5
