Domain I Vapp
AA -1.2781066231086278e-13 0.02
AA -1.831611741368359e-13 -0.02
AB -2.2448096362305792e-13 -0.02
AA -8.95834919220988e-14 0.04
AB -1.1391494815037197e-13 0.02
AA -2.2643469763259062e-13 -0.04
AB -2.6807151559349186e-13 -0.04
AA -2.6116539611450346e-13 -0.06
AB -7.889243627802009e-14 0.04
AA -5.51872119713746e-14 0.06
AB -4.952230376559605e-14 0.06
AB -2.999454227245203e-13 -0.06
AA -1.4180474821952479e-14 0.08
AB -3.20403589216331e-13 -0.08
AA -2.879822749611751e-13 -0.08
AB 1.54435009991954e-14 0.08
AA -1.360991591351379e-13 0.0
AB -1.6973776324814878e-13 0.0
AA -3.216741691344979e-13 -0.12
AA -2.331091710941071e-15 0.12
AB -3.4333261878154753e-13 -0.12
AA -4.85723284209215e-16 0.14
AB -4.333840719453717e-15 0.12
AA -3.332318382221484e-13 -0.14
AA -3.42319623783176e-13 -0.16
AB -3.498869339125876e-13 -0.14
AB -4.234660419403116e-15 0.14
AA -2.1505994732789516e-15 0.16
AB -1.932601920119463e-15 0.16
AB -3.540098056160736e-13 -0.16
AB -3.582822925975213e-13 -0.18
AA -7.190444584236461e-16 0.18
AA -3.4842598104867175e-13 -0.18
AB -9.823302028399995e-16 0.18
AA -3.0666452951073727e-13 -0.1
AA -1.569704601303491e-14 0.1
AB -3.3419129008457823e-13 -0.1
AB -1.1476765319967206e-14 0.1
AA -3.59385496810572e-13 -0.22
AA -1.6741266415626194e-16 0.22
AB -3.6438283386745126e-13 -0.22
AB 9.051164219546079e-17 0.22
AA 7.993224828754538e-17 0.24
AB -3.652988299136579e-13 -0.24
AA -3.6240016545623223e-13 -0.24
AA -3.364256203254758e-17 0.26
AA -3.65418335591475e-13 -0.26
AB -7.153222144981114e-17 0.24
AB -3.6797562314512297e-13 -0.26
AB -5.323240219939068e-17 0.26
AA -3.6767409512525525e-13 -0.28
AB -3.6863148134595534e-13 -0.28
AB -2.7592422677454683e-17 0.28
AA 2.835082601175953e-17 0.28
AA -3.5535891940462373e-13 -0.2
AA -4.24679618862618e-16 0.2
AB -3.615752727750699e-13 -0.2
AB -3.713910303296815e-13 -0.32
AB 1.8991989266979867e-16 0.2
AA -3.7031618015066293e-13 -0.32
AB -3.721736864973297e-13 -0.34
AA -3.7212080916613053e-13 -0.34
AA -3.712667160730567e-13 -0.36
AB -3.7247564640976165e-13 -0.36
AB -3.736920584002316e-13 -0.38
AA -3.731315778423365e-13 -0.38
AA 8.820978444369433e-18 0.3
AA -3.688633478284856e-13 -0.3
AB -3.68932036258519e-13 -0.3
AA -3.734194613375918e-13 -0.42
AB -3.737973285135744e-13 -0.42
AB -3.477692827205712e-17 0.3
AB -3.742331646051748e-13 -0.44
AA -3.7388335134447095e-13 -0.44
AA -3.4564292446871387e-13 -0.46
AB -3.7313890451386966e-13 -0.48
AA -3.7441481175782206e-13 -0.48
AB -3.738015520630795e-13 -0.46
AB -3.722584069340145e-13 -0.4
AA -3.742877403752449e-13 -0.5
AA -3.724597287413066e-13 -0.4
AB -3.7426094411280347e-13 -0.5
