idx I Vapp Center(x) Center(y)
0 -1.325029461867999e-12 -0.5 0.0 0.0
1 -1.3312915088485357e-12 -0.5 3.316053456801762 -1.9145243559316862
2 -1.3329037045294001e-12 -0.5 6.632106913603524 -3.8290487118633725
3 -1.3329054511129194e-12 -0.5 9.948160370405285 -5.743573067795059
4 -1.3315597648002957e-12 -0.5 13.264213827207048 -7.658097423726745
5 -1.3318843761377323e-12 -0.5 16.58026728400881 -9.572621779658432
6 -1.3339131623950399e-12 -0.5 19.89632074081057 -11.487146135590118
7 -1.3315006745104883e-12 -0.5 23.212374197612334 -13.401670491521806
8 -1.3315081781201273e-12 -0.5 26.528427654414095 -15.31619484745349
9 -1.33276357765499e-12 -0.5 29.84448111121586 -17.230719203385178
10 -1.335369032114551e-12 -0.5 33.16053456801762 -19.145243559316864
11 -1.3338792199161283e-12 -0.5 36.47658802481938 -21.05976791524855
12 -1.3531180014657984e-12 -0.5 39.79264148162114 -22.974292271180236
13 -1.3340189004973878e-12 -0.5 43.1086949384229 -24.88881662711192
14 -1.3324269002612207e-12 -0.5 46.42474839522467 -26.80334098304361
15 -1.3340204862811622e-12 -0.5 49.74080185202642 -28.717865338975294
16 -1.3341972429675178e-12 -0.5 53.05685530882819 -30.63238969490698
17 -1.3315970171840819e-12 -0.5 56.37290876562995 -32.546914050838666
18 -1.334531653299426e-12 -0.5 59.68896222243172 -34.461438406770355
19 -1.3322101736493897e-12 -0.5 63.00501567923347 -36.37596276270204
20 -1.3325846029225674e-12 -0.5 66.32106913603523 -38.29048711863373
21 -1.3353195346129288e-12 -0.5 69.637122592837 -40.20501147456541
22 -1.3345614066735424e-12 -0.5 72.95317604963876 -42.1195358304971
23 -1.3283994009134899e-12 -0.5 76.26922950644052 -44.03406018642879
24 -1.3331211309074446e-12 -0.5 79.58528296324228 -45.94858454236047
25 -1.333376475485623e-12 -0.5 82.90133642004405 -47.86310889829216
26 -1.3363779017242879e-12 -0.5 86.2173898768458 -49.77763325422384
27 -1.3341098568961464e-12 -0.5 89.53344333364757 -51.69215761015553
28 -1.3285686111753776e-12 -0.5 92.84949679044934 -53.60668196608722
29 -1.332569326387549e-12 -0.5 96.16555024725109 -55.5212063220189
30 -1.3313514892365678e-12 -0.5 99.48160370405284 -57.43573067795059
31 -1.3303857540406989e-12 -0.5 102.79765716085461 -59.35025503388228
32 -1.3326281645626535e-12 -0.5 106.11371061765638 -61.26477938981396
33 -1.332694597686259e-12 -0.5 109.42976407445813 -63.17930374574565
34 -1.3216179246817911e-12 -0.5 112.7458175312599 -65.09382810167733
35 -1.3328871609383902e-12 -0.5 116.06187098806164 -67.00835245760902
36 -1.3330471138376892e-12 -0.5 119.37792444486344 -68.92287681354071
37 -1.333687313447332e-12 -0.5 122.69397790166519 -70.8374011694724
38 -1.33316134395807e-12 -0.5 126.01003135846695 -72.75192552540408
39 -1.331904331396756e-12 -0.5 129.3260848152687 -74.66644988133577
40 -1.3320692949921458e-12 -0.5 132.64213827207047 -76.58097423726745
