idx I Vapp Center(x) Center(y)
0 -1.3460625333827506e-12 -0.5 0.0 0.0
1 -1.3466895163773353e-12 -0.5 1.2767357918009477 -0.7371237530803071
2 -1.3460513511547167e-12 -0.5 2.5534715836018953 -1.4742475061606142
3 -1.3439706541352731e-12 -0.5 3.8302073754028427 -2.2113712592409214
4 -1.3467514727462422e-12 -0.5 5.106943167203791 -2.9484950123212283
5 -1.345331346979247e-12 -0.5 6.383678959004738 -3.6856187654015358
6 -1.3467233848954151e-12 -0.5 7.6604147508056855 -4.422742518481843
7 -1.3484685889296775e-12 -0.5 8.937150542606634 -5.159866271562151
8 -1.3477704789763201e-12 -0.5 10.213886334407581 -5.896990024642457
9 -1.3458638669280978e-12 -0.5 11.49062212620853 -6.634113777722764
10 -1.3464245486103913e-12 -0.5 12.767357918009475 -7.3712375308030715
11 -1.3460507613216381e-12 -0.5 14.044093709810422 -8.108361283883378
12 -1.3514035730610764e-12 -0.5 15.320829501611371 -8.845485036963685
13 -1.3462747558135213e-12 -0.5 16.597565293412316 -9.582608790043992
14 -1.3484344783662078e-12 -0.5 17.87430108521327 -10.319732543124301
15 -1.3471987178201412e-12 -0.5 19.151036877014214 -11.056856296204607
16 -1.3456792768950802e-12 -0.5 20.427772668815162 -11.793980049284913
17 -1.3465563764071384e-12 -0.5 21.70450846061611 -12.531103802365221
18 -1.3412285627598685e-12 -0.5 22.98124425241706 -13.268227555445527
19 -1.3465743214667714e-12 -0.5 24.257980044218 -14.005351308525835
20 -1.3475613012964642e-12 -0.5 25.53471583601895 -14.742475061606143
21 -1.3463220905912178e-12 -0.5 26.8114516278199 -15.47959881468645
22 -1.3466493348288251e-12 -0.5 28.088187419620844 -16.216722567766755
23 -1.3473218760158665e-12 -0.5 29.364923211421797 -16.953846320847063
24 -1.3437301222898807e-12 -0.5 30.641659003222742 -17.69097007392737
25 -1.3455829099894922e-12 -0.5 31.91839479502369 -18.42809382700768
26 -1.3461449473341328e-12 -0.5 33.19513058682463 -19.165217580087983
27 -1.3469088876111737e-12 -0.5 34.471866378625585 -19.90234133316829
28 -1.3447705229903512e-12 -0.5 35.74860217042654 -20.639465086248602
29 -1.3451178985140171e-12 -0.5 37.025337962227475 -21.376588839328907
30 -1.3457020439862951e-12 -0.5 38.30207375402843 -22.113712592409215
31 -1.3461082750297028e-12 -0.5 39.57880954582937 -22.850836345489522
32 -1.3460293246638986e-12 -0.5 40.855545337630325 -23.587960098569827
33 -1.3408464047686811e-12 -0.5 42.13228112943127 -24.325083851650135
34 -1.3460715224564933e-12 -0.5 43.40901692123222 -25.062207604730443
35 -1.3433086468078778e-12 -0.5 44.68575271303316 -25.799331357810747
36 -1.3461930521642033e-12 -0.5 45.96248850483412 -26.536455110891055
37 -1.3464669207200787e-12 -0.5 47.239224296635065 -27.273578863971366
38 -1.3462142559271302e-12 -0.5 48.515960088436 -28.01070261705167
39 -1.3458444150361363e-12 -0.5 49.792695880236955 -28.74782637013198
40 -1.3460046348740828e-12 -0.5 51.0694316720379 -29.484950123212286
41 -1.3463256999989764e-12 -0.5 52.34616746383885 -30.22207387629259
42 0.0 -0.5 53.6229032556398 -30.9591976293729
43 -1.351868350175723e-12 -0.5 54.89963904744075 -31.696321382453206
44 -1.3458185303650137e-12 -0.5 56.17637483924169 -32.43344513553351
45 -1.3436963419995064e-12 -0.5 57.45311063104264 -33.17056888861382
46 -1.3416847053978817e-12 -0.5 58.72984642284359 -33.907692641694126
47 -1.3462183379468168e-12 -0.5 60.00658221464454 -34.64481639477443
48 -1.346449716889787e-12 -0.5 1.2767357918009477 0.7371237530803071
49 -1.339925970623967e-12 -0.5 2.5534715836018953 0.0
50 -1.3503586984590081e-12 -0.5 3.8302073754028427 -0.7371237530803071
51 -1.3472086758589918e-12 -0.5 5.106943167203791 -1.4742475061606144
52 -1.3487155306108515e-12 -0.5 6.383678959004738 -2.2113712592409214
53 -1.346429501721854e-12 -0.5 7.6604147508056855 -2.948495012321229
54 -1.3455874914828006e-12 -0.5 8.937150542606632 -3.6856187654015358
55 -1.3471539177601827e-12 -0.5 10.213886334407581 -4.422742518481843
56 -1.3459092332318274e-12 -0.5 11.49062212620853 -5.159866271562149
57 -1.345791804874117e-12 -0.5 12.767357918009477 -5.896990024642457
58 -1.3450723984914564e-12 -0.5 14.044093709810422 -6.634113777722764
59 -1.3468635709372873e-12 -0.5 15.320829501611371 -7.371237530803071
60 -1.3464053477833679e-12 -0.5 16.59756529341232 -8.108361283883378
61 -1.3461956658911971e-12 -0.5 17.874301085213265 -8.845485036963684
62 -1.347603363461043e-12 -0.5 19.151036877014217 -9.582608790043993
63 -1.3463550432881674e-12 -0.5 20.427772668815162 -10.319732543124301
64 -1.3459750265556079e-12 -0.5 21.70450846061611 -11.056856296204607
