idx I Vapp Center(x) Center(y)
0 -1.6497172747486841e-15 0.0 0.0 0.0
1 -1.6676432072694972e-15 0.0 2.3212556009506455 -1.3401775460667817
2 -1.6605265566777342e-15 0.0 4.642511201901291 -2.6803550921335635
3 -1.6454312114311863e-15 0.0 6.963766802851937 -4.020532638200345
4 -1.677163210947426e-15 0.0 9.285022403802582 -5.360710184267127
5 -1.6790015167024155e-15 0.0 11.606278004753227 -6.700887730333909
6 -1.681725176879198e-15 0.0 13.927533605703873 -8.04106527640069
7 -1.7042331170637498e-15 0.0 16.24878920665452 -9.381242822467472
8 -1.7374806907502413e-15 0.0 18.570044807605164 -10.721420368534254
9 -1.7522199505114867e-15 0.0 20.89130040855581 -12.061597914601036
10 -1.7505656060506558e-15 0.0 23.212556009506454 -13.401775460667817
11 -1.7849969050322106e-15 0.0 25.533811610457096 -14.7419530067346
12 -1.805636315870222e-15 0.0 27.855067211407746 -16.08213055280138
13 -1.8238093577274373e-15 0.0 30.17632281235839 -17.42230809886816
14 -1.8380501241962524e-15 0.0 32.49757841330904 -18.762485644934944
15 -1.827390289418857e-15 0.0 34.81883401425968 -20.102663191001724
16 -1.883960497334894e-15 0.0 37.14008961521033 -21.442840737068508
17 -1.884531149566953e-15 0.0 39.46134521616097 -22.78301828313529
18 -1.8759826893955307e-15 0.0 41.78260081711162 -24.12319582920207
19 -1.8786537417701407e-15 0.0 44.103856418062264 -25.46337337526885
20 -1.9134290745499515e-15 0.0 46.42511201901291 -26.803550921335635
21 -1.9295984993060327e-15 0.0 48.74636761996356 -28.14372846740242
22 -1.9414215713715617e-15 0.0 51.06762322091419 -29.4839060134692
23 -1.944561016685359e-15 0.0 53.38887882186485 -30.824083559535982
24 -1.93632727786713e-15 0.0 55.71013442281549 -32.16426110560276
25 -1.9404757724979157e-15 0.0 58.031390023766136 -33.504438651669545
26 -1.9299410975393304e-15 0.0 60.35264562471678 -34.84461619773632
27 -1.910223602995314e-15 0.0 62.67390122566742 -36.184793743803105
28 -1.8986403922030684e-15 0.0 64.99515682661809 -37.52497128986989
29 -1.9163539781537323e-15 0.0 67.31641242756871 -38.865148835936665
30 -1.9017970355931212e-15 0.0 69.63766802851936 -40.20532638200345
31 -1.8724184058137866e-15 0.0 71.95892362947001 -41.54550392807024
32 -1.8694239128488138e-15 0.0 74.28017923042066 -42.885681474137016
33 -1.844505544234034e-15 0.0 76.60143483137131 -44.2258590202038
34 -1.8394879892816623e-15 0.0 78.92269043232194 -45.56603656627058
35 -1.8148246444014014e-15 0.0 81.24394603327258 -46.90621411233736
36 -1.8120912169586367e-15 0.0 83.56520163422324 -48.24639165840414
37 -1.790730167261407e-15 0.0 85.88645723517389 -49.586569204470926
38 -1.7714701815487917e-15 0.0 88.20771283612453 -50.9267467505377
39 -1.7335303637568048e-15 0.0 90.52896843707516 -52.266924296604486
40 -1.718222326456879e-15 0.0 92.85022403802581 -53.60710184267127
41 -1.720001450623036e-15 0.0 95.17147963897646 -54.947279388738046
42 -1.6934617495676805e-15 0.0 97.49273523992711 -56.28745693480484
43 -1.6813591882572125e-15 0.0 99.81399084087776 -57.62763448087162
44 -1.6734201401964341e-15 0.0 102.13524644182839 -58.9678120269384
45 -1.64907426237999e-15 0.0 104.45650204277904 -60.30798957300518
46 -1.660098393224525e-15 0.0 106.7777576437297 -61.648167119071964
47 -1.6497272517983202e-15 0.0 109.09901324468034 -62.98834466513874
48 -1.6541502569146418e-15 0.0 2.3212556009506455 1.3401775460667817
49 -1.6448737975386981e-15 0.0 4.642511201901291 0.0
50 -1.6525052467582991e-15 0.0 6.963766802851937 -1.3401775460667817
51 -1.6702603286874325e-15 0.0 9.285022403802582 -2.680355092133564
52 -1.6753848024622551e-15 0.0 11.606278004753227 -4.020532638200345
53 -1.7036333467560888e-15 0.0 13.927533605703873 -5.360710184267128
54 -1.6851402572518864e-15 0.0 16.248789206654518 -6.700887730333909
55 -1.7189120752763157e-15 0.0 18.570044807605164 -8.04106527640069
56 -1.731309249609529e-15 0.0 20.89130040855581 -9.38124282246747
57 -1.7641737739803643e-15 0.0 23.212556009506457 -10.721420368534254
58 -1.7726436663178687e-15 0.0 25.533811610457096 -12.061597914601036
59 -1.802396886309824e-15 0.0 27.855067211407746 -13.401775460667816
60 -1.8211857803546698e-15 0.0 30.176322812358393 -14.7419530067346
61 -1.8188522902750414e-15 0.0 32.497578413309036 -16.082130552801377
62 -1.8439986351151144e-15 0.0 34.818834014259686 -17.422308098868164
63 -1.87062950997356e-15 0.0 37.14008961521033 -18.762485644934944
64 -1.8559398341704985e-15 0.0 39.46134521616097 -20.102663191001724
65 -1.884563613346207e-15 0.0 41.78260081711162 -21.44284073706851
66 -1.9113622243548194e-15 0.0 44.10385641806227 -22.78301828313529
67 -1.8990408777482837e-15 0.0 46.42511201901291 -24.12319582920207
68 -1.8832876077265036e-15 0.0 48.74636761996356 -25.463373375268855
69 -1.9330483553741074e-15 0.0 51.0676232209142 -26.803550921335635
70 -1.9332509172067854e-15 0.0 53.38887882186484 -28.14372846740242
71 -1.938960335760973e-15 0.0 55.7101344228155 -29.483906013469202
72 -1.9428304601799317e-15 0.0 58.031390023766136 -30.824083559535982
73 -1.935680420123486e-15 0.0 60.352645624716786 -32.16426110560276
74 -1.9187136171135995e-15 0.0 62.67390122566742 -33.50443865166954
75 -1.935458318600534e-15 0.0 64.99515682661807 -34.84461619773632
76 -1.918409911031869e-15 0.0 67.31641242756872 -36.184793743803105
77 -1.909395342567853e-15 0.0 69.63766802851936 -37.52497128986988
78 -1.9000249498213297e-15 0.0 71.95892362947001 -38.865148835936665
79 -1.8845312191520917e-15 0.0 74.28017923042066 -40.20532638200345
80 -1.8729724917267354e-15 0.0 76.60143483137131 -41.54550392807023
81 -1.8403247961162416e-15 0.0 78.92269043232194 -42.885681474137016
82 -1.8126004535286693e-15 0.0 81.2439460332726 -44.2258590202038
83 -1.8167913732761273e-15 0.0 83.56520163422323 -45.566036566270576
84 -1.7741011713871862e-15 0.0 85.88645723517389 -46.90621411233736
85 -1.7696969151020888e-15 0.0 88.20771283612454 -48.24639165840414
86 -1.7526336094505883e-15 0.0 90.52896843707516 -49.58656920447092
87 -1.7257784595774945e-15 0.0 92.85022403802581 -50.9267467505377
88 -1.7174724818145393e-15 0.0 95.17147963897646 -52.266924296604486
89 -1.7009842558898908e-15 0.0 97.49273523992711 -53.60710184267126
90 -1.696659226972654e-15 0.0 99.81399084087776 -54.947279388738046
91 -1.6850941370789338e-15 0.0 102.1352464418284 -56.28745693480484
92 -1.6702973838933625e-15 0.0 104.45650204277904 -57.62763448087161
93 -1.67369664277538e-15 0.0 106.77775764372969 -58.9678120269384
94 -1.6676194709227753e-15 0.0 109.09901324468035 -60.30798957300518
95 -1.6350117528682698e-15 0.0 111.42026884563099 -61.64816711907196
96 -1.6513291737862991e-15 0.0 4.642511201901291 2.6803550921335635
97 -1.6632964201146013e-15 0.0 6.963766802851937 1.3401775460667817
98 -1.6652314731862697e-15 0.0 9.285022403802582 0.0
99 -1.6318816277307845e-15 0.0 11.606278004753227 -1.340177546066782
100 -1.6899588562234209e-15 0.0 13.927533605703873 -2.6803550921335635
101 -1.6974354404149882e-15 0.0 16.248789206654518 -4.020532638200345
102 -1.7174880248771621e-15 0.0 18.570044807605164 -5.360710184267128
103 -1.7338423113616545e-15 0.0 20.89130040855581 -6.70088773033391
104 -1.7607193286546013e-15 0.0 23.212556009506454 -8.04106527640069
105 -1.721371102323769e-15 0.0 25.5338116104571 -9.381242822467472
106 -1.7562205677687543e-15 0.0 27.855067211407746 -10.721420368534256
107 -1.8041022648081438e-15 0.0 30.17632281235839 -12.061597914601036
108 -1.8146111741604188e-15 0.0 32.497578413309036 -13.401775460667817
109 -1.823698137474091e-15 0.0 34.81883401425968 -14.7419530067346
110 -1.8599106862567644e-15 0.0 37.14008961521033 -16.08213055280138
111 -1.8837110213461424e-15 0.0 39.46134521616097 -17.42230809886816
112 -1.8809140649075377e-15 0.0 41.78260081711162 -18.76248564493494
113 -1.8977124919318424e-15 0.0 44.10385641806227 -20.102663191001724
114 -1.9235436305881284e-15 0.0 46.425112019012914 -21.442840737068508
115 -1.908786479302652e-15 0.0 48.74636761996355 -22.783018283135288
116 -1.929152535049821e-15 0.0 51.06762322091419 -24.12319582920207
117 -1.930574072027932e-15 0.0 53.38887882186484 -25.46337337526885
118 -1.9368630587225205e-15 0.0 55.71013442281549 -26.80355092133563
119 -1.938921947688114e-15 0.0 58.031390023766136 -28.14372846740242
120 -1.8782151330865544e-15 0.0 60.352645624716786 -29.4839060134692
121 -1.9156582333644835e-15 0.0 62.67390122566743 -30.824083559535982
122 -1.908365277477126e-15 0.0 64.99515682661807 -32.164261105602755
