idx I Vapp Center(x) Center(y)
0 -1.2927677187822752e-15 0.0 0.0 0.0
1 -1.261899682197367e-15 0.0 0.8512112141366533 -0.491447023619025
2 -1.2758046515076967e-15 0.0 1.7024224282733067 -0.98289404723805
3 -1.2859845947324697e-15 0.0 2.55363364240996 -1.474341070857075
4 -1.2718259416982993e-15 0.0 3.4048448565466134 -1.9657880944761
5 -1.2889602638158325e-15 0.0 4.256056070683266 -2.457235118095125
6 -1.252520283965356e-15 0.0 5.10726728481992 -2.94868214171415
7 -1.2377036332114097e-15 0.0 5.958478498956574 -3.4401291653331754
8 -1.2576340666364069e-15 0.0 6.809689713093227 -3.9315761889522
9 -1.283783568356196e-15 0.0 7.66090092722988 -4.423023212571225
10 -1.2794239884183008e-15 0.0 8.512112141366533 -4.91447023619025
11 -1.2895125854946866e-15 0.0 9.363323355503185 -5.405917259809275
12 -1.2603943032135988e-15 0.0 10.21453456963984 -5.8973642834283
13 -1.2685186242856776e-15 0.0 11.065745783776492 -6.388811307047325
14 -1.2807634823499625e-15 0.0 11.916956997913148 -6.880258330666351
15 -1.2637558983483456e-15 0.0 12.7681682120498 -7.371705354285375
16 -1.2963960300001105e-15 0.0 13.619379426186454 -7.8631523779044
17 -1.2354695687528894e-15 0.0 14.470590640323106 -8.354599401523425
18 -1.271419050563779e-15 0.0 15.32180185445976 -8.84604642514245
19 -1.2456518018067888e-15 0.0 16.17301306859641 -9.337493448761474
20 -1.2687259432279515e-15 0.0 17.024224282733066 -9.8289404723805
21 -1.2835435003953196e-15 0.0 17.87543549686972 -10.320387495999524
22 -1.2707638179163048e-15 0.0 18.72664671100637 -10.81183451961855
23 -1.208147794084513e-15 0.0 19.57785792514303 -11.303281543237576
24 -1.280442786475741e-15 0.0 20.42906913927968 -11.7947285668566
25 -1.2784410363176483e-15 0.0 21.280280353416334 -12.286175590475626
26 -1.2669564892033805e-15 0.0 22.131491567552985 -12.77762261409465
27 -1.2776868599357887e-15 0.0 22.98270278168964 -13.269069637713676
28 -1.2567596573616087e-15 0.0 23.833913995826297 -13.760516661332701
29 -1.2808148051565811e-15 0.0 24.685125209962944 -14.251963684951724
30 -1.2850474712391653e-15 0.0 25.5363364240996 -14.74341070857075
31 -1.27627137434559e-15 0.0 26.387547638236253 -15.234857732189775
32 -1.2288196975637318e-15 0.0 27.238758852372907 -15.7263047558088
33 -1.273886216907604e-15 0.0 28.08997006650956 -16.217751779427825
34 -1.2843783843243977e-15 0.0 28.941181280646212 -16.70919880304685
35 -1.2528666877990197e-15 0.0 29.792392494782863 -17.200645826665873
36 -1.2856155871819524e-15 0.0 30.64360370891952 -17.6920928502849
37 -1.282941133050808e-15 0.0 31.494814923056175 -18.183539873903925
38 -1.2885541530766864e-15 0.0 32.34602613719282 -18.67498689752295
39 -1.2905946858357158e-15 0.0 33.19723735132948 -19.166433921141977
40 -1.2890307337289195e-15 0.0 34.04844856546613 -19.657880944761
41 -1.2781341876294118e-15 0.0 34.899659779602786 -20.149327968380025
42 -1.2749328310093231e-15 0.0 35.75087099373944 -20.64077499199905
