idx I Vapp Center(x) Center(y)
0 -2.6636205778750547e-13 -0.5 0.0 0.0
1 -2.664745599682307e-13 -0.5 3.316053456801762 -1.9145243559316862
2 -2.6659534949353417e-13 -0.5 6.632106913603524 -3.8290487118633725
3 -2.662258818750249e-13 -0.5 9.948160370405285 -5.743573067795059
4 -2.6657349161807717e-13 -0.5 13.264213827207048 -7.658097423726745
5 -2.6669853192193306e-13 -0.5 16.58026728400881 -9.572621779658432
6 -2.6598790442453796e-13 -0.5 19.89632074081057 -11.487146135590118
7 -2.6640831082746333e-13 -0.5 23.212374197612334 -13.401670491521806
8 -2.6675755739297127e-13 -0.5 26.528427654414095 -15.31619484745349
9 -2.6663476796932227e-13 -0.5 29.84448111121586 -17.230719203385178
10 -2.658588949580281e-13 -0.5 33.16053456801762 -19.145243559316864
11 -2.678222187326466e-13 -0.5 36.47658802481938 -21.05976791524855
12 -2.6557753340228175e-13 -0.5 39.79264148162114 -22.974292271180236
13 -2.668141651853941e-13 -0.5 43.1086949384229 -24.88881662711192
14 -2.6647821781723367e-13 -0.5 46.42474839522467 -26.80334098304361
15 -2.6692552652380396e-13 -0.5 49.74080185202642 -28.717865338975294
16 -2.6665105732663654e-13 -0.5 53.05685530882819 -30.63238969490698
17 -2.667134948980536e-13 -0.5 56.37290876562995 -32.546914050838666
18 -2.665006898483052e-13 -0.5 59.68896222243172 -34.461438406770355
19 -2.6619862288931864e-13 -0.5 63.00501567923347 -36.37596276270204
20 -2.6726877175667917e-13 -0.5 66.32106913603523 -38.29048711863373
21 -2.663895959254135e-13 -0.5 69.637122592837 -40.20501147456541
22 -2.6670996642145367e-13 -0.5 72.95317604963876 -42.1195358304971
23 -2.647674947657427e-13 -0.5 76.26922950644052 -44.03406018642879
24 -2.6667487216962125e-13 -0.5 79.58528296324228 -45.94858454236047
25 -2.6719549823276325e-13 -0.5 82.90133642004405 -47.86310889829216
26 -2.6679484433010744e-13 -0.5 86.2173898768458 -49.77763325422384
27 -2.657631048150999e-13 -0.5 89.53344333364757 -51.69215761015553
28 -2.6754628848561274e-13 -0.5 92.84949679044934 -53.60668196608722
29 -2.655314729052758e-13 -0.5 96.16555024725109 -55.5212063220189
30 -2.666066512305329e-13 -0.5 99.48160370405284 -57.43573067795059
31 -2.667124250882345e-13 -0.5 102.79765716085461 -59.35025503388228
32 -2.6675254617495615e-13 -0.5 106.11371061765638 -61.26477938981396
33 -2.6684539592643405e-13 -0.5 109.42976407445813 -63.17930374574565
34 -2.6870780828684807e-13 -0.5 112.7458175312599 -65.09382810167733
35 -2.662704424706563e-13 -0.5 116.06187098806164 -67.00835245760902
36 -2.6656431915481716e-13 -0.5 119.37792444486344 -68.92287681354071
37 -2.666255220922551e-13 -0.5 122.69397790166519 -70.8374011694724
38 -2.6648271647501754e-13 -0.5 126.01003135846695 -72.75192552540408
39 -2.6672390891507625e-13 -0.5 129.3260848152687 -74.66644988133577
40 -2.673458009800451e-13 -0.5 132.64213827207047 -76.58097423726745
41 -2.6657922800248636e-13 -0.5 135.95819172887224 -78.49549859319913
42 -2.643836670560117e-13 -0.5 139.274245185674 -80.41002294913082
43 -2.663648259532109e-13 -0.5 142.59029864247577 -82.32454730506251
44 -2.664618374791659e-13 -0.5 145.9063520992775 -84.2390716609942
45 -2.668106958180957e-13 -0.5 149.22240555607928 -86.15359601692589
46 -2.667591963172184e-13 -0.5 152.53845901288105 -88.06812037285758
47 -2.6661624131869533e-13 -0.5 155.8545124696828 -89.98264472878925
48 -2.673061770147871e-13 -0.5 3.316053456801762 1.9145243559316862
49 -2.667338930143055e-13 -0.5 6.632106913603524 0.0
50 -2.66789504824902e-13 -0.5 9.948160370405285 -1.9145243559316862
51 -2.664697841636485e-13 -0.5 13.264213827207048 -3.829048711863373
52 -2.6703134772162374e-13 -0.5 16.58026728400881 -5.743573067795059
53 -2.660662566299175e-13 -0.5 19.89632074081057 -7.658097423726746
54 -2.6688603805736607e-13 -0.5 23.21237419761233 -9.572621779658432
55 -2.6642530926671353e-13 -0.5 26.528427654414095 -11.487146135590118
56 -2.659399952089025e-13 -0.5 29.84448111121586 -13.401670491521802
57 -2.672309018379015e-13 -0.5 33.160534568017624 -15.31619484745349
58 -2.664981636856458e-13 -0.5 36.47658802481938 -17.230719203385178
59 -2.6654347404973056e-13 -0.5 39.79264148162114 -19.14524355931686
60 -2.663387174069338e-13 -0.5 43.10869493842291 -21.05976791524855
61 -2.664747078549118e-13 -0.5 46.42474839522466 -22.974292271180232
62 -2.659179327193045e-13 -0.5 49.740801852026436 -24.888816627111925
63 -2.667121804559379e-13 -0.5 53.05685530882819 -26.80334098304361
64 -2.6619446987872223e-13 -0.5 56.37290876562995 -28.717865338975294
65 -2.662740191968894e-13 -0.5 59.68896222243172 -30.632389694906983
66 -2.661353586851311e-13 -0.5 63.00501567923348 -32.546914050838666
67 -2.670290982781475e-13 -0.5 66.32106913603523 -34.461438406770355
68 -2.6646436944737546e-13 -0.5 69.637122592837 -36.375962762702045
69 -2.6537045506645517e-13 -0.5 72.95317604963877 -38.29048711863373
70 -2.66396408900196e-13 -0.5 76.26922950644052 -40.20501147456541
71 -2.671702557532086e-13 -0.5 79.58528296324229 -42.1195358304971
72 -2.6630363988414906e-13 -0.5 82.90133642004405 -44.03406018642879
73 -2.6678253608454544e-13 -0.5 86.21738987684581 -45.94858454236047
74 -2.6602648403752285e-13 -0.5 89.53344333364757 -47.863108898292154
75 -2.6623450785341524e-13 -0.5 92.84949679044932 -49.77763325422384
76 -2.6652085662514796e-13 -0.5 96.1655502472511 -51.69215761015553
77 -2.668189161599789e-13 -0.5 99.48160370405284 -53.60668196608721
78 -2.667967190114028e-13 -0.5 102.79765716085461 -55.5212063220189
79 -2.669917913333219e-13 -0.5 106.11371061765638 -57.43573067795059
80 -2.665446750508774e-13 -0.5 109.42976407445813 -59.35025503388227
81 -2.658351066675489e-13 -0.5 112.7458175312599 -61.26477938981396
82 -2.6619395055794696e-13 -0.5 116.06187098806167 -63.17930374574565
83 -2.664722596812925e-13 -0.5 119.37792444486341 -65.09382810167733
84 -2.666365431313e-13 -0.5 122.69397790166519 -67.00835245760902
85 -2.660625512875161e-13 -0.5 126.01003135846696 -68.92287681354071
86 -2.666921094610263e-13 -0.5 129.3260848152687 -70.83740116947239
87 -2.6696761964537345e-13 -0.5 132.64213827207047 -72.75192552540408
88 -2.663807366519993e-13 -0.5 135.95819172887224 -74.66644988133577
89 -2.6531302361014213e-13 -0.5 139.274245185674 -76.58097423726744
90 -2.6652537208838744e-13 -0.5 142.59029864247577 -78.49549859319913
91 -2.6628375225004567e-13 -0.5 145.90635209927754 -80.41002294913082
92 -2.664789371445898e-13 -0.5 149.22240555607928 -82.32454730506251
93 -2.647996022373949e-13 -0.5 152.53845901288105 -84.2390716609942
94 -2.665878606291064e-13 -0.5 155.85451246968282 -86.15359601692589
