idx I Vapp Center(x) Center(y)
0 -2.7497136774995153e-13 -0.5 0.0 0.0
1 -2.7475488934168054e-13 -0.5 0.8512112141366533 -0.491447023619025
2 -2.7504671396467286e-13 -0.5 1.7024224282733067 -0.98289404723805
3 -2.752209721270563e-13 -0.5 2.55363364240996 -1.474341070857075
4 -2.755756912909671e-13 -0.5 3.4048448565466134 -1.9657880944761
5 -2.742075001876392e-13 -0.5 4.256056070683266 -2.457235118095125
6 -2.750901942097347e-13 -0.5 5.10726728481992 -2.94868214171415
7 -2.736617991810429e-13 -0.5 5.958478498956574 -3.4401291653331754
8 -2.75011236965534e-13 -0.5 6.809689713093227 -3.9315761889522
9 -2.743612087620512e-13 -0.5 7.66090092722988 -4.423023212571225
10 -2.7387443075459374e-13 -0.5 8.512112141366533 -4.91447023619025
11 -2.7387443075459374e-13 -0.5 9.363323355503185 -5.405917259809275
12 -2.746204912738995e-13 -0.5 10.21453456963984 -5.8973642834283
13 -2.748639882518085e-13 -0.5 11.065745783776492 -6.388811307047325
14 -2.7448922321260344e-13 -0.5 11.916956997913148 -6.880258330666351
15 -2.748481291650117e-13 -0.5 12.7681682120498 -7.371705354285375
16 -2.7479233934587315e-13 -0.5 13.619379426186454 -7.8631523779044
17 -2.7494968301733936e-13 -0.5 14.470590640323106 -8.354599401523425
18 -2.745491264237016e-13 -0.5 15.32180185445976 -8.84604642514245
19 -2.7489848337244307e-13 -0.5 16.17301306859641 -9.337493448761474
20 -2.7440729802682183e-13 -0.5 17.024224282733066 -9.8289404723805
21 -2.7359570618528625e-13 -0.5 17.87543549686972 -10.320387495999524
22 -2.7497158739567674e-13 -0.5 18.72664671100637 -10.81183451961855
23 -2.7489423643261235e-13 -0.5 19.57785792514303 -11.303281543237576
24 -2.7485972913223744e-13 -0.5 20.42906913927968 -11.7947285668566
25 -2.7516602623174257e-13 -0.5 21.280280353416334 -12.286175590475626
26 -2.730342369601877e-13 -0.5 22.131491567552985 -12.77762261409465
27 -2.7492727789907555e-13 -0.5 22.98270278168964 -13.269069637713676
28 -2.7475874134111007e-13 -0.5 23.833913995826297 -13.760516661332701
29 -2.7488035603060896e-13 -0.5 24.685125209962944 -14.251963684951724
