idx I Vapp Center(x) Center(y)
0 -8.27834196547283e-16 0.0 0.0 0.0
1 -8.296527580633171e-16 0.0 2.3212556009506455 -1.3401775460667817
2 -8.309301229454674e-16 0.0 4.642511201901291 -2.6803550921335635
3 -8.335255859170892e-16 0.0 6.963766802851937 -4.020532638200345
4 -8.322508870556787e-16 0.0 9.285022403802582 -5.360710184267127
5 -8.1530694199204e-16 0.0 11.606278004753227 -6.700887730333909
6 -8.510473543015477e-16 0.0 13.927533605703873 -8.04106527640069
7 -8.601060245567282e-16 0.0 16.24878920665452 -9.381242822467472
8 -8.658997542164739e-16 0.0 18.570044807605164 -10.721420368534254
9 -8.668496023218566e-16 0.0 20.89130040855581 -12.061597914601036
10 -8.686439009690601e-16 0.0 23.212556009506454 -13.401775460667817
11 -8.798399291384137e-16 0.0 25.533811610457096 -14.7419530067346
12 -9.03755861779931e-16 0.0 27.855067211407746 -16.08213055280138
13 -9.131571720777249e-16 0.0 30.17632281235839 -17.42230809886816
14 -9.193060769545542e-16 0.0 32.49757841330904 -18.762485644934944
15 -9.231129564074706e-16 0.0 34.81883401425968 -20.102663191001724
16 -9.190082304083322e-16 0.0 37.14008961521033 -21.442840737068508
17 -9.440358327588529e-16 0.0 39.46134521616097 -22.78301828313529
18 -9.499300613683106e-16 0.0 41.78260081711162 -24.12319582920207
19 -9.603160647617274e-16 0.0 44.103856418062264 -25.46337337526885
20 -9.439407806633825e-16 0.0 46.42511201901291 -26.803550921335635
21 -9.59572093998833e-16 0.0 48.74636761996356 -28.14372846740242
22 -9.71405311202271e-16 0.0 51.06762322091419 -29.4839060134692
23 -9.50124233898802e-16 0.0 53.38887882186485 -30.824083559535982
24 -9.434855283078798e-16 0.0 55.71013442281549 -32.16426110560276
25 -9.706240561361443e-16 0.0 58.031390023766136 -33.504438651669545
26 -9.655600182968107e-16 0.0 60.35264562471678 -34.84461619773632
27 -9.696045970696338e-16 0.0 62.67390122566742 -36.184793743803105
28 -9.5941633512064e-16 0.0 64.99515682661809 -37.52497128986989
