idx I Vapp Center(x) Center(y)
0 -1.1352565910533777e-13 -0.1 0.0 0.0
1 -1.1385476845457186e-13 -0.1 2.042777266881516 -1.1793980049284913
2 -1.1288823088216591e-13 -0.1 4.085554533763032 -2.3587960098569827
3 -1.1342614373905e-13 -0.1 6.128331800644549 -3.5381940147854745
4 -1.138782299770853e-13 -0.1 8.171109067526064 -4.717592019713965
5 -1.1339077444188094e-13 -0.1 10.213886334407581 -5.896990024642457
6 -1.132359669304075e-13 -0.1 12.256663601289098 -7.076388029570949
7 -1.1316982900515766e-13 -0.1 14.299440868170613 -8.25578603449944
8 -1.1294310832521166e-13 -0.1 16.34221813505213 -9.43518403942793
9 -1.1260862560723016e-13 -0.1 18.384995401933644 -10.614582044356423
10 -1.1311550781848937e-13 -0.1 20.427772668815162 -11.793980049284913
11 -1.1267044705626295e-13 -0.1 22.470549935696674 -12.973378054213404
12 -1.1277020029712573e-13 -0.1 24.513327202578196 -14.152776059141898
13 -1.1282203834419477e-13 -0.1 26.55610446945971 -15.332174064070388
14 -1.1243430627271673e-13 -0.1 28.598881736341227 -16.51157206899888
15 -1.1219312801000088e-13 -0.1 30.641659003222742 -17.69097007392737
16 -1.1253444014122142e-13 -0.1 32.68443627010426 -18.87036807885586
17 -1.1290786338379639e-13 -0.1 34.72721353698577 -20.049766083784352
18 -1.12335098302343e-13 -0.1 36.76999080386729 -21.229164088712846
19 -1.1273317670873642e-13 -0.1 38.8127680707488 -22.408562093641336
20 -1.1309892594290078e-13 -0.1 40.855545337630325 -23.587960098569827
21 -1.1310872515671954e-13 -0.1 42.89832260451183 -24.767358103498317
22 -1.1282544324595617e-13 -0.1 44.94109987139335 -25.946756108426808
23 -1.129673574355218e-13 -0.1 46.98387713827488 -27.126154113355305
24 -1.1346555907171315e-13 -0.1 49.02665440515639 -28.305552118283796
25 -1.1319658547622035e-13 -0.1 51.0694316720379 -29.484950123212286
26 -1.138054877367711e-13 -0.1 53.11220893891942 -30.664348128140777
27 -1.1370801595387502e-13 -0.1 55.15498620580094 -31.843746133069267
28 -1.1368302773914067e-13 -0.1 57.19776347268245 -33.02314413799776
29 -1.3195146851428942e-13 -0.1 59.24054073956397 -34.20254214292625
30 -1.1317951313035966e-13 -0.1 2.042777266881516 1.1793980049284913
31 -1.1371641656469605e-13 -0.1 4.085554533763032 0.0
32 -1.1348574034723101e-13 -0.1 6.128331800644549 -1.1793980049284913
33 -1.1374061504617802e-13 -0.1 8.171109067526064 -2.358796009856983
