idx I Vapp Center(x) Center(y)
0 -3.514299022943084e-15 0.0 0.0 0.0
1 -3.5208615890175103e-15 0.0 3.316053456801762 -1.9145243559316862
2 -3.501484413070721e-15 0.0 6.632106913603524 -3.8290487118633725
3 -3.502435010302384e-15 0.0 9.948160370405285 -5.743573067795059
4 -3.4834040663686396e-15 0.0 13.264213827207048 -7.658097423726745
5 -3.4716490975390045e-15 0.0 16.58026728400881 -9.572621779658432
6 -3.4571195858116575e-15 0.0 19.89632074081057 -11.487146135590118
7 -3.4378681596611424e-15 0.0 23.212374197612334 -13.401670491521806
8 -3.415638073585993e-15 0.0 26.528427654414095 -15.31619484745349
9 -3.392854796910642e-15 0.0 29.84448111121586 -17.230719203385178
10 -3.3817031153079555e-15 0.0 33.16053456801762 -19.145243559316864
11 -3.3670884897532277e-15 0.0 36.47658802481938 -21.05976791524855
12 -3.349773077513041e-15 0.0 39.79264148162114 -22.974292271180236
13 -3.3265265819912733e-15 0.0 43.1086949384229 -24.88881662711192
14 -3.3123828466529475e-15 0.0 46.42474839522467 -26.80334098304361
15 -3.2498038510570813e-15 0.0 49.74080185202642 -28.717865338975294
16 -3.2987685733643774e-15 0.0 53.05685530882819 -30.63238969490698
17 -3.283390828892684e-15 0.0 56.37290876562995 -32.546914050838666
18 -3.2824059023695117e-15 0.0 59.68896222243172 -34.461438406770355
19 -3.270433142102528e-15 0.0 63.00501567923347 -36.37596276270204
20 -3.2285034438444754e-15 0.0 66.32106913603523 -38.29048711863373
21 -3.2564186386943417e-15 0.0 69.637122592837 -40.20501147456541
22 -3.1822914303541035e-15 0.0 72.95317604963876 -42.1195358304971
23 -3.2399960150848737e-15 0.0 76.26922950644052 -44.03406018642879
24 -3.1916851148941046e-15 0.0 79.58528296324228 -45.94858454236047
25 -3.2360041899691482e-15 0.0 82.90133642004405 -47.86310889829216
26 -3.24894328042753e-15 0.0 86.2173898768458 -49.77763325422384
27 -3.2646337804919337e-15 0.0 89.53344333364757 -51.69215761015553
28 -3.2469484732177446e-15 0.0 92.84949679044934 -53.60668196608722
29 -3.277959973522041e-15 0.0 96.16555024725109 -55.5212063220189
30 -3.2806739723898768e-15 0.0 99.48160370405284 -57.43573067795059
31 -3.273349187847893e-15 0.0 102.79765716085461 -59.35025503388228
32 -3.3016486754789665e-15 0.0 106.11371061765638 -61.26477938981396
33 -3.3118470790381384e-15 0.0 109.42976407445813 -63.17930374574565
34 -3.3226468612103984e-15 0.0 112.7458175312599 -65.09382810167733
35 -3.3253829432382214e-15 0.0 116.06187098806164 -67.00835245760902
36 -3.34803837644244e-15 0.0 119.37792444486344 -68.92287681354071
37 -3.3742923847576976e-15 0.0 122.69397790166519 -70.8374011694724
38 -3.391665944525542e-15 0.0 126.01003135846695 -72.75192552540408
39 -3.4108633621816344e-15 0.0 129.3260848152687 -74.66644988133577
40 -3.4282360300392224e-15 0.0 132.64213827207047 -76.58097423726745
41 -3.436899682391327e-15 0.0 135.95819172887224 -78.49549859319913
42 -3.459781003080471e-15 0.0 139.274245185674 -80.41002294913082
43 -3.438061848822019e-15 0.0 142.59029864247577 -82.32454730506251
44 -3.4686566882511376e-15 0.0 145.9063520992775 -84.2390716609942
45 -3.5043929329469532e-15 0.0 149.22240555607928 -86.15359601692589
46 -3.503977935550524e-15 0.0 152.53845901288105 -88.06812037285758
47 -3.5119163784439055e-15 0.0 155.8545124696828 -89.98264472878925
48 -3.5184236939232694e-15 0.0 3.316053456801762 1.9145243559316862
49 -3.5063934967370768e-15 0.0 6.632106913603524 0.0
50 -3.505426226468064e-15 0.0 9.948160370405285 -1.9145243559316862
51 -3.469631788275334e-15 0.0 13.264213827207048 -3.829048711863373
52 -3.4632264956264525e-15 0.0 16.58026728400881 -5.743573067795059
53 -3.466384454966894e-15 0.0 19.89632074081057 -7.658097423726746
54 -3.4233921496891886e-15 0.0 23.21237419761233 -9.572621779658432
55 -3.4204095527866357e-15 0.0 26.528427654414095 -11.487146135590118
56 -3.373980493218464e-15 0.0 29.84448111121586 -13.401670491521802
57 -3.378157334031337e-15 0.0 33.160534568017624 -15.31619484745349
58 -3.373030671056201e-15 0.0 36.47658802481938 -17.230719203385178
59 -3.3325097090992583e-15 0.0 39.79264148162114 -19.14524355931686
60 -3.3448582121766148e-15 0.0 43.10869493842291 -21.05976791524855
61 -3.3135814644147605e-15 0.0 46.42474839522466 -22.974292271180232
62 -3.314324788639031e-15 0.0 49.740801852026436 -24.888816627111925
63 -3.305126049111253e-15 0.0 53.05685530882819 -26.80334098304361
64 -3.226337802280303e-15 0.0 56.37290876562995 -28.717865338975294
