idx I Vapp Center(x) Center(y)
0 -3.5424072403054572e-15 0.0 0.0 0.0
1 -3.544713065431635e-15 0.0 1.2767357918009477 -0.7371237530803071
2 -3.554871036559298e-15 0.0 2.5534715836018953 -1.4742475061606142
3 -3.542060188315253e-15 0.0 3.8302073754028427 -2.2113712592409214
4 -3.539143879761532e-15 0.0 5.106943167203791 -2.9484950123212283
5 -3.556728021210753e-15 0.0 6.383678959004738 -3.6856187654015358
6 -3.5504454253917317e-15 0.0 7.6604147508056855 -4.422742518481843
7 -3.5074205182749265e-15 0.0 8.937150542606634 -5.159866271562151
8 -3.5408375891081393e-15 0.0 10.213886334407581 -5.896990024642457
9 -3.538783514783063e-15 0.0 11.49062212620853 -6.634113777722764
10 -3.53442539461374e-15 0.0 12.767357918009475 -7.3712375308030715
11 -3.534017999452854e-15 0.0 14.044093709810422 -8.108361283883378
12 -3.5485571092286253e-15 0.0 15.320829501611371 -8.845485036963685
13 -3.538287931893698e-15 0.0 16.597565293412316 -9.582608790043992
14 -3.5334642823518393e-15 0.0 17.87430108521327 -10.319732543124301
15 -3.5347899043554237e-15 0.0 19.151036877014214 -11.056856296204607
16 -3.532483891159398e-15 0.0 20.427772668815162 -11.793980049284913
17 -3.5216353398966535e-15 0.0 21.70450846061611 -12.531103802365221
18 -3.5095055610715264e-15 0.0 22.98124425241706 -13.268227555445527
19 -3.522372539368388e-15 0.0 24.257980044218 -14.005351308525835
20 -3.5106947161188053e-15 0.0 25.53471583601895 -14.742475061606143
21 -3.5079058556802417e-15 0.0 26.8114516278199 -15.47959881468645
22 -3.505965052800246e-15 0.0 28.088187419620844 -16.216722567766755
23 -3.523552894886964e-15 0.0 29.364923211421797 -16.953846320847063
24 -3.516838781673659e-15 0.0 30.641659003222742 -17.69097007392737
25 -3.5162367535601966e-15 0.0 31.91839479502369 -18.42809382700768
26 -3.5145234949858955e-15 0.0 33.19513058682463 -19.165217580087983
27 -3.5266265765433075e-15 0.0 34.471866378625585 -19.90234133316829
28 -3.5342781030218148e-15 0.0 35.74860217042654 -20.639465086248602
29 -3.507455307300269e-15 0.0 37.025337962227475 -21.376588839328907
30 -3.5249333349831173e-15 0.0 38.30207375402843 -22.113712592409215
31 -3.5267411904041445e-15 0.0 39.57880954582937 -22.850836345489522
32 -3.524956949386206e-15 0.0 40.855545337630325 -23.587960098569827
33 -3.52682283232502e-15 0.0 42.13228112943127 -24.325083851650135
34 -3.5259303396979235e-15 0.0 43.40901692123222 -25.062207604730443
35 -3.5282524992390435e-15 0.0 44.68575271303316 -25.799331357810747
36 -3.5225642220630596e-15 0.0 45.96248850483412 -26.536455110891055
37 -3.5225642220630596e-15 0.0 47.239224296635065 -27.273578863971366
38 -3.5359395266744568e-15 0.0 48.515960088436 -28.01070261705167
39 -3.52805359787485e-15 0.0 49.792695880236955 -28.74782637013198
40 -3.538806237498223e-15 0.0 51.0694316720379 -29.484950123212286
41 -3.5423721164564487e-15 0.0 52.34616746383885 -30.22207387629259
42 -3.5522513694107377e-15 0.0 53.6229032556398 -30.9591976293729
43 -3.4808882996411164e-15 0.0 54.89963904744075 -31.696321382453206
