I Vapp Center(x) Center(y)
-3.211606871436813e-15 -0.1 0.0 0.0
-3.211606871436813e-15 -0.1 2.042777266881516 -1.1793980049284913
-3.2272289220215314e-15 -0.1 4.085554533763032 -2.3587960098569827
-3.2272289220215314e-15 -0.1 6.128331800644549 -3.5381940147854745
-3.1026809529402708e-15 -0.1 8.171109067526064 -4.717592019713965
-3.027064799938977e-15 -0.1 10.213886334407581 -5.896990024642457
-2.9334321453867564e-15 -0.1 12.256663601289098 -7.076388029570949
-2.9334321453867564e-15 -0.1 14.299440868170613 -8.25578603449944
-2.7073537830674026e-15 -0.1 16.34221813505213 -9.43518403942793
-2.6189700951176125e-15 -0.1 18.384995401933644 -10.614582044356423
-2.5034292044987332e-15 -0.1 20.427772668815162 -11.793980049284913
-2.456482962350293e-15 -0.1 22.470549935696674 -12.973378054213404
-2.456482962350293e-15 -0.1 24.513327202578196 -14.152776059141898
-2.456482962350293e-15 -0.1 26.55610446945971 -15.332174064070388
-2.456482962350293e-15 -0.1 28.598881736341227 -16.51157206899888
-2.3009658546765895e-15 -0.1 30.641659003222742 -17.69097007392737
-2.3094952304917043e-15 -0.1 32.68443627010426 -18.87036807885586
-2.3344227346853254e-15 -0.1 34.72721353698577 -20.049766083784352
-2.382348099791523e-15 -0.1 36.76999080386729 -21.229164088712846
-2.463166185452439e-15 -0.1 38.8127680707488 -22.408562093641336
-2.5271814860824322e-15 -0.1 40.855545337630325 -23.587960098569827
-2.6271603469988803e-15 -0.1 42.89832260451183 -24.767358103498317
-2.6271603469988803e-15 -0.1 44.94109987139335 -25.946756108426808
-2.6271603469988803e-15 -0.1 46.98387713827488 -27.126154113355305
-2.92786908902723e-15 -0.1 49.02665440515639 -28.305552118283796
-3.0319571875069686e-15 -0.1 51.0694316720379 -29.484950123212286
-3.0997551504243513e-15 -0.1 53.11220893891942 -30.664348128140777
-3.1780201195208067e-15 -0.1 55.15498620580094 -31.843746133069267
-3.1780201195208067e-15 -0.1 57.19776347268245 -33.02314413799776
-3.1780201195208067e-15 -0.1 59.24054073956397 -34.20254214292625
-3.26200338849742e-15 -0.1 2.042777266881516 1.1793980049284913
-3.26200338849742e-15 -0.1 4.085554533763032 0.0
-3.1939958974491707e-15 -0.1 6.128331800644549 -1.1793980049284913
-3.124046757766209e-15 -0.1 8.171109067526064 -2.358796009856983
-3.066095573057019e-15 -0.1 10.213886334407581 -3.5381940147854745
-2.990063589254849e-15 -0.1 12.256663601289098 -4.717592019713965
-2.869997569114416e-15 -0.1 14.299440868170615 -5.896990024642458
-2.869997569114416e-15 -0.1 16.34221813505213 -7.076388029570949
-2.653074484052194e-15 -0.1 18.384995401933644 -8.25578603449944
-2.5800299298812984e-15 -0.1 20.427772668815162 -9.43518403942793
-2.492168656405676e-15 -0.1 22.470549935696678 -10.614582044356423
-2.4181103496706822e-15 -0.1 24.513327202578193 -11.793980049284913
-2.4181103496706822e-15 -0.1 26.55610446945971 -12.973378054213406
-2.314769153871822e-15 -0.1 28.59888173634123 -14.152776059141898
-2.2977957387779416e-15 -0.1 30.641659003222742 -15.332174064070388
-2.2977957387779416e-15 -0.1 32.68443627010426 -16.51157206899888
-2.3141420495148977e-15 -0.1 34.72721353698578 -17.69097007392737
-2.3141420495148977e-15 -0.1 36.76999080386729 -18.87036807885586
-2.4276088976917857e-15 -0.1 38.8127680707488 -20.049766083784352
-2.493681336166376e-15 -0.1 40.85554533763032 -21.229164088712846
-2.493681336166376e-15 -0.1 42.89832260451183 -22.408562093641336
-2.654242118734819e-15 -0.1 44.94109987139335 -23.587960098569827
-2.654242118734819e-15 -0.1 46.98387713827486 -24.767358103498317
-2.654242118734819e-15 -0.1 49.02665440515639 -25.94675610842681
-2.654242118734819e-15 -0.1 51.0694316720379 -27.126154113355305
-3.0501605718068722e-15 -0.1 53.112208938919416 -28.305552118283796
-3.1477022142213693e-15 -0.1 55.15498620580094 -29.484950123212286
-3.1477022142213693e-15 -0.1 57.19776347268245 -30.664348128140777
-3.242039807856915e-15 -0.1 59.24054073956396 -31.843746133069267
-3.2562871355463927e-15 -0.1 61.283318006445484 -33.02314413799776
-3.2314440138372064e-15 -0.1 4.085554533763032 2.3587960098569827
-3.1954990299186137e-15 -0.1 6.128331800644549 1.1793980049284913
-3.154727143743011e-15 -0.1 8.171109067526064 0.0
-3.154727143743011e-15 -0.1 10.213886334407581 -1.1793980049284916
-3.154727143743011e-15 -0.1 12.256663601289098 -2.3587960098569827
-2.899276935455716e-15 -0.1 14.299440868170613 -3.538194014785474
-2.816042963239838e-15 -0.1 16.34221813505213 -4.717592019713966
-2.816042963239838e-15 -0.1 18.384995401933644 -5.896990024642458
-2.816042963239838e-15 -0.1 20.427772668815162 -7.076388029570949
-2.5235098856572646e-15 -0.1 22.470549935696678 -8.25578603449944
-2.4206374952443046e-15 -0.1 24.513327202578196 -9.43518403942793
-2.376411015120135e-15 -0.1 26.556104469459708 -10.614582044356423
-2.3260816181409915e-15 -0.1 28.59888173634123 -11.793980049284915
-2.289008080967058e-15 -0.1 30.641659003222745 -12.973378054213406
-2.289008080967058e-15 -0.1 32.68443627010426 -14.152776059141898
-2.289008080967058e-15 -0.1 34.72721353698578 -15.332174064070388
-2.289008080967058e-15 -0.1 36.76999080386729 -16.51157206899888
-2.3708878018464814e-15 -0.1 38.8127680707488 -17.69097007392737
-2.438961405707192e-15 -0.1 40.855545337630325 -18.87036807885586
-2.5231463430343293e-15 -0.1 42.89832260451183 -20.049766083784352
-2.5231463430343293e-15 -0.1 44.941099871393355 -21.229164088712846
-2.7040403134298816e-15 -0.1 46.98387713827487 -22.408562093641336
-2.7040403134298816e-15 -0.1 49.026654405156386 -23.587960098569827
-2.9138743242370845e-15 -0.1 51.06943167203791 -24.76735810349832
