I Vapp Vdl
-4.285142887161269e-14 -0.04 -0.05304057104504847
-2.005830537900239e-14 -0.08 -0.07758822944892513
-8.580436644769038e-15 -0.12 -0.10177201006118189
-3.0835722370737324e-15 -0.16 -0.1229831459034625
-1.7656215561387395e-15 -0.2 -0.1380669928212552
-1.665351718245014e-13 0.04 -0.011045715319889408
-3.1723038882034073e-13 0.08 0.003433005095157827
-6.260885243801559e-13 0.12 0.019396177419530605
-1.1882561641867415e-12 0.16 0.04002013539020433
-1.9076624740966769e-16 -0.4 -0.261533926558806
-8.69008743664671e-14 1.38778e-17 -0.030108444451138236
-2.634110254949102e-16 -0.3 -0.1903115784343494
-1.7656215561387395e-15 -0.2 -0.1380669928212552
-1.3227723828644616e-14 -0.1 -0.08985862317859802
-8.690179771042191e-14 -2.77556e-17 -0.030108444451138257
-4.452278144019653e-13 0.1 0.010807092165377445
-2.045880107132362e-12 0.2 0.06329554171412634
-4.739087737463225e-12 0.3 0.11684278175922296
-6.377095428115047e-12 0.4 0.14866109699027336
